AirlinerName,AirplaneSerialNum,Source,Destination,FlightNum,FlightDate,FlightTime,FlightRate,seatRow,seatcolumn,totalSeats
Qatar,123456,Boston,Chicago,QR-777,10/24/2017,06:40,500,25,6,150
Qatar,123456,Chicago,Boston,QR-776,10/24/2017,08:40,300,25,6,150
Qatar,45678,Boston,NewYork,QR-778,10/25/2017,10:45,450,25,6,150
Qatar,45678,Mumbai,NewYork,QR-772,10/26/2017,05:45,500,25,6,150
Emirates,12546,Mumbai,Boston,EM-741,10/28/2017,04:45,500,25,6,150
Emirates,12546,Mumbai,Delhi,Em-756,10/22/2017,04:56,450,25,6,150
Emirates,546567,Boston,Chicago,QR-779,10/26/2017,05:23,600,25,6,150
AirIndia,789454,Mumbai,Kolkatta,AI-889,10/22/2017,03:45,800,25,6,150
AirIndia,789454,Mumbai,Delhi,AI-880,10/22/2017,03:45,700,25,6,150
AirIndia,123654,Goa,Mumbai,SJ-456,10/22/2017,03:45,300,25,6,150
AirIndia,123654,Delhi,Mumbai,AI-500,10/13/2017,02:45,500,25,6,150
Ethiad,741258,Mumbai,Dubai,ED-564,10/23/2017,05:45,400,25,6,150
Ethiad,741258,Dubai,Boston,ED-789,10/05/2017,02:13,100,25,6,150
Ethiad,1236545,Boston,Chicago,ED-563,10/24/2017,03:58,300,25,6,150
Ethiad,1236545,Chicago,Boston,LT-556,10/23/2017,11:23,800,25,6,150
Indigo,745896,Mumbai,Goa,IG-458,10/16/2017,06:45,100,25,6,150
Indigo,745896,Mumbai,Delhi,IG-857,10/25/2017,02:45,100,25,6,150
Indigo,456321,Delhi,Mumbai,IG-569,10/23/2017,03:15,300,25,6,150